Stone Name,Rough Weight,Rough Length,Rough Height,SHape,WT,Pw,Cut,TD(%),TD(MM),Ratio,W,L,SW(%),SW(MM),Table(%),Table(MM),Crown,Crown H(%),Crown H(MM),Girdle(%),Girdle(MM),Pavil,Pavil D(%),Pavil D(MM),Tilt,Star,Half,Culet(%),Culet(MM),Color,Clarity,Fls,Total Dolar,Discount,Dolar,saw,Charni,UserName
78AS1-64,0.234,3.98,3.74,ROUND,0.035,0.013,EX3,62.7,0.93,1,1.48,1.48,0.9,60,57,0.85,35.8,15.5,0.23,M: 3.6,0.05,41.09,43.6,0.65,43,51,77.5,0,0,G,SI2,None,261,,3,Saw10-2,-0.5,
78AS1-64,0.234,3.98,3.74,ROUND,0.035,0.008,EX3,62.6,0.79,1,1.26,1.26,1.3,60,57,0.72,35.8,15.5,0.2,M: 3.6,0.05,41,43.5,0.55,100,51.5,77.5,0,0,G,SI2,None,261,,2,Saw10-2,-0.5,
78AS1-64,0.234,3.98,3.74,ROUND,0.118,0.059,EX3,60.3,1.54,1,2.55,2.55,2.5,60,55.1,1.41,32.63,14.4,0.37,M: 2.5,0.06,41,43.5,1.11,140,50,75,0,0,G,SI1,None,300,,18,Saw10-1,-0.5,
78AS1-64,0.234,3.98,3.74,ROUND,0.036,0.013,EX3,62.6,0.95,1,1.51,1.51,1.4,60,57,0.86,35.8,15.5,0.23,M: 3.6,0.05,41,43.5,0.66,11,50,75,0,0,G,SI1,None,289,,4,Saw10-1,-0.5,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
78AS1-64,0.234,3.98,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
